rate,Comment
4,This is a delicious bread but needs some clarification in the steps. First the dough will not rise at all in the fridge. This worried me but the bread rose beautifully once it was a loaf shape. Second it&apos;s very important that your filling is spreadable and not a powder. I used homemade almond paste and my filling was more of a powder than a paste which caused me problems. If I had it to do again I&apos;d have added an egg white to make it stickier. Third keep the dough refrigerated until right before you roll it out otherwise it will get sticky and will tear easily. Fourth when it&apos;s done baking it will still look a little doughy. I overcooked this because I thought it wasn&apos;t done and the doughier parts turned out the most delicious later on. The texture is closer to a coffee cake than a loaf of bread. I had a hard time rolling out the shape to the full 40 inches before the outer layer got thin enough to start tearing so at that point (probably about 30 inches) I just twisted it up into a loaf and let it rise. But in the end this was absolutely delicious. Moist and very very rich with beautiful flavors that complemented each other very well. Highly recommend and I will try it again now that I know how.
5,This bread is very very good. I&apos;ve made it twice now and it&apos;s gotten easier each time. I recently made it for a Christmas party and everyone LOVED IT and wanted the recipe!!!!!
5,I&apos;m still trying to figure out how to get filling in a 2in.wide strip.
1,Will not make again. Dough was too hard to roll out. Instructions were not good or complete.
5,"This cheesecake turned out great!  The changes I made was to add one cup of eggnog & an extra tablespoon of rum.  I also added 1/4 tsp. cinnamon and nutmeg to the crust.  I wrapped the bottom of the springform pan with foil and baked it in a water-filled cookie pan.  I baked it for the time specified and it came out perfect with no cracks.  I followed what someone else said and I beat 1 cup whipping cream with 3 T powdered sugar and then I added 1 tsp. rum extract & 1 tsp. cinnamon.  It really added to the eggnog flavor.  Also, I microwaved the cream cheese and eggnog just until it was at room temp. and I mixed everything with my kitchenaid stand mixer and this worked very well.  I&apos;ll definitely be making this every year for the holidays!"
5,"This cheesecake is FANTASTIC. I used helpful suggestions from the other reviewers to make modifications, and here&apos;s my advice:
                                1. I scaled the recipe down to 11 servings so it used 2 pkgs of cream cheese. I used one pkg of full-fat cream cheese and one pkg of light, and it still tasted wonderfully rich. 
                                3. I added about 3/4 to 1 tsp of cinnamon and 1/2 tsp of nutmeg to the batter, subbed 3/4 tbsp of vanilla extract for the rum (I didn&apos;t have any rum on hand), and used 1 cup eggnog. 
                                4. MAKE THIS CHEESECAKE THE DAY BEFORE YOU NEED IT (I can&apos;t stress that enough; this recipe improves with time, and the flavor is much better the second day). 
                                5. If you&apos;re using a store-bought graham cracker crust, there will be more batter than you need to fill the crust, so look up a ""crustless cheesecake"" recipe and use those directions for baking the excess batter. 
                                6. Use a water bath (I just filled a cake pan with water and put it on the bottom rack of the oven, below the middle rack where the cheesecake was).
                                7. When it&apos;s finished cooking, turn off the heat, open the oven door a bit, and let it cool in there for a couple hours before refrigerating.
                                
                                This recipe is fantastic - it&apos;s definitely going to be an Xmas staple from now on!"
5,"Excellent cheesecake! A great way to use leftover eggnog. I didn&apos;t have any rum, so I used vanilla extract instead - it still tasted as if alcohol had been added to it (DELICIOUS!). Since I didn&apos;t have a food processor big enough to fit the entire recipe, I used an electric beater. I made sure to beat the cream cheese mixture until very fluffy. It was so fluffy that I thought it would colapse after removing from the oven. To my surprise, it didn&apos;t. And, to give it a delicate flavor, I used crushed lady fingers in place of graham crakers. The final result was of a very light and creamy filling over a delicious crust. Perfect for making mini-sized cheesecakes (the kind that you can eat in 2 to 3 bites); a great addition to the finger-food menu of an elegant party."
5,"This may be the best cheesecake I&apos;ve ever made.  I brought this to our work holiday party and EVERYONE raved about it.  Not too sweet, great eggnog flavor.  I did a gingersnap crust instead of graham cracker and that complemented the nutmeg and eggnog beautifully and substituted vanilla extract for the rum.  It was very easy to make and the biggest hit I&apos;ve had at a potluck since I made chocolate bread pudding 4 years ago.  Definitely a keeper for holiday desserts."
5,"This is the most delicious cheesecake I&apos;ve ever had.  I&apos;ve made dozens of them, and people have started hiring me to bake them for their Christmas parties this year.  It always comes out perfectly, and is always a hit.  I use my KitchenAid mixer and let it mix for a good, long while until everything is smooth and creamy.  This recipe is to die for!"
5,"I made these cheesecake THREE times during December--that&apos;s how good it is. Here are my modifications: (1) use gingersnaps for the crust. Every time I made it someone raved about the crust. (2) Use 1 c. of eggnog not 3/4 c. Someone else recommended this and it works. Use more nutmeg than a pinch. (3) Use spiced rum if you have it. And finally when the recipe says ""remove from oven and immediately loosen sides "" do it. The first time I did not and it cracked heavily as it cooled. I spread whipped cream over the top and no one ever knew. But the next time I ran a knife around the sides and it didn&apos;t crack at all. Best if you can let it sit overnight. Easy and absolutely great for holiday desserts."
5,This cheesecake had a great consistancy - not too heavy yet satisfying in the way only cheesecake can be. I used the Pecan Caramel sauce from Eggnog Cheesecake I at this site - it has dark rum in it and was perfect. I also added some spices ( 1/4 tsp each of ginger nutmeg and cinnamon) to the crust. I don&apos;t have a food processor I just mixed the heck out of it with my stand mixer.
5,"SO good!  The perfect elegant, yet not too challenging holiday dessert.  I had plenty of eggnog leftover from making my yearly eggnog Christmas cookies and wanted to make a cheesecake for a family Christmas celebration, so it made perfect sense.
                                
                                I followed several different suggestions and made some minor adjustments to the original recipe.  I will admit, that although I&apos;ve made enough cheesecakes that I would say I&apos;m a fairly experienced cheesecake baker I have never prepared my batter in a food processor so I was a little nervous but since I already had the processor out to make my crust I thought I&apos;d give it a go, and it worked out great, plus I didn&apos;t dirty up my mixer!  
                                
                                The changes I made are as follows:
                                - for the crust I added 1/2 tsp cinnamon and 1/4 tsp nutmeg
                                - I upped the eggnog to 1 cup in the batter
                                - replaced the rum with 1 Tbsp vanilla extract
                                - added 1 tsp cinnamon and 1/2 tsp nutmeg  to batter
                                
                                Also, unlike many of the users I did not use a waterbath, nor have I ever.  The consistency was great and no cracks!"
4,"When I set out to find an unusual holiday cheesecake recipe, I stumbled upon this one, which seemed like one of the easiest. Not only was it relatively easy, it was one of the smoothest, richest cheesecakes I&apos;ve ever tasted. The eggnog flavor lends itself very well to this classic dessert. In addition to an eggnog cheesecake, I used the basic recipe but substituted pure almond flavor for the rum and then swirled it with freshly grated ginger before baking. Both were superlative. Thanks for the great recipe."
3,I was really excited to try and make this and read all the reviews/suggestions before I made it. Next time I will bake it a little longer and I won t use rum extract but vanilla extract and cinnamon.
5,"For those of you who are hesitant to try this recipe because of the cost of Gruyere, I have a tip. Grate cheap grocery store brand Swiss cheese; it costs roughly $3 per pound instead of $18 or so per pound like Gruyere. Then pour about 3 T. of white wine over the 2 C. of the Swiss, toss, and let sit for at least 15 minutes. When ready to use, blot with a paper towel to remove excess wine, and it will remarkably cook up just like Gruyere. Your palate won&apos;t know the difference, but your pocketbook will!"
5,"The following is my review for this outstanding recipe that I reviewed when it was still a personal recipe. Reviewed on Nov. 22, 2011 by Avon
                                Thanks Celeste for the perfect, perfect au gratin potato recipe. Such a simple and yet elegant taste. Easy to put together and whatever you do, don&apos;t skimp on the ingredients. Use fresh ground nutmeg, the heavy cream, the yukon golds, and most of all the gruyere. It&apos;s not everynight of the week anyone needs to splurge on something so decadent, but for a special occasion or to make a meal memorable, just do i t. You won&apos;t be sorry."
5,"Potato perfection.   I chose to slice my potatoes a little thicker, perhaps between 1/8 and 1/4 inch, and only boiled them a few minutes to ensure they would not be reduced to mush.  I’d do so exactly the same next time.   These are, indeed, rich and creamy and develop a beautiful and extra delicious golden brown crust as they bake.  I loved the subtle flavor of the nutmeg (fresh does make a big difference I believe), which was an ideal choice to enhance, just slightly, the flavor of the potatoes as well as that gorgeous Gruyere cheese.  Not only were these a decadent  taste sensation, they were remarkably easy to assemble as well – no sauce to prepare, just layer cream and cheese!  After sampling these it will be interesting to see if I ever go back to traditional au gratin potatoes prepared with cheddar again."
4,"It was very good.  If you happen to have a Trader Joe&apos;s around town, get their cheddar/gruyere cheese blend and use that.  It was perfect and not as expensive as a pure gruyere cheese.  I also added some chives and seasoned the layers with a  salt blend.  Lastly I broiled the top for a bit to make it more crispy and pretty to serve."
5,Recipe Group selection 3/17/12. My only deviation from the recipe was using Jarlesburg in place of Greuyere which was 21.99/lb. This was so good with the lesser cheese I can just imagine it as written. Celeste this is another winning recipe thank you for sharing it with us.
5,"Made this for Recipe Group...This is potato perfection!!! I could not believe how easy this was to prepare and the end result was fantastic...everyone RAVED! I had planned a different potato recipe and at the last minute decided on these, so I had already had whole, boiled potatoes, so I just peeled them, sliced them thin and proceeded w/ the recipe. I seasoned them w/ some garlic powder and salt (as well as the pepper and nutmeg) to compensate for what I did not do during the boiling, which worked out fine. Also, and I know this is major, so PLEASE forgive me, but I actually only had a very small amount of Gruyere on hand that my mom gave me, so I did end up using some creamy Irish white cheddar (Ballyshannon) as well, and it went perfectly. These were so creamy and flavorful...a real hit at dinner. I will def be making these again and again (probably subbing cheeses as needed, lol). Thanks, Celeste, for this wonderful recipe. :)"
5,"Made this for Easter dinner, which meant there wouldn&apos;t be a lot of time to prepare it after the morning church service.  I made the entire dish up to the point where it was ready to bake the night before, then covered and refrigerated it overnight. I was worried the potatoes would be mushy, so I sliced them a bit thicker than the recipe called for, but they were just fine. They baked while I roasted the asparagus and tossed the salad, and were perfect. I loved the Gruyere in this, and would definitely make it again. This reminded me of the individual baked portions of au gratin potatoes I&apos;ve had at a local steakhouse - one of my favorite splurges there. Thanks for sharing Celeste!"
5,The taste of these potatoes is wonderful. The one thing I would do differently next time is to simmer in water for about 4 to 5 minutes. I did 8 and it was too long. Excellent flavor I will make again for sure.
5,"Celeste...these potatoes are so yummy! Quick to put together and so creamy, my family loved this dish. I nearly broke the bank on the Gruyere but it was so worth it!"
2,These weren&apos;t awful.  I just felt they were a little bland and not worth the cost of the cheese you put in.
5,"I loved this recipe, very similar to mine. I dry age my beef for a week prior to the dinner. I let my roast sit out @ room temp for  2 1/2 to 4 hours before cooking. I like a higher heat,  I preheat the oven to 500 degrees.
                                
                                 Put the room temperature roast in the preheated oven (@500 degrees) and roast 15 minutes for EACH rib. Six rib roast = 1.5 hours @ 500 degrees.
                                
                                When cooking time is finished, turn off the oven. ""Do not open the door at any time"". 
                                Allow the roast to remain in the oven until oven is lukewarm, (about two hours). 
                                The roast will still have a crunchy brown crust and will be cooked to a perfect medium rare."
5,"I did like another reviewer...  I let my roast sit out @ room temp for 2-1/2 to 4 hours before cooking. I PREHEAT the OVEN to 500*F. Put the room temperature roast in the preheated oven (@500*F) & roast 15 minutes for EACH rib. Six rib roast = 1.5 hours @ 500 degrees. When cooking time is finished, turn off the oven. DO NOT OPEN THE OVEN DOOR! Allow the roast to remain in the oven until oven is lukewarm, (@2 hours). The roast will still have a crunchy brown crust & will be cooked to a perfect medium rare."
5,The best prime rib I ever made. This recipe was easy to follow and the prime rib was outstanding. I will make this my go to way of making prime rib. Give it a try!
5,I tried this recipe with a 9 pound bone in rib roast and  wow it was amazing..... The cook time was a little off because at 2 hours it was at  135 internal temp and really it should have been pulled out at about 120 so it would of ended up about 130 to 135. Very tasty.
5,"I made this today and thought to myself...kind of crazy for me to try a new recipe on Christmas day.....but took a shot at it.   I bought a 5.30 pound prime rib roast at Costco.  $16.89 a pound....worth every penny. It was literally a ""Prime"" beef -- top shelf for Costco standard.   Recipe is very easy to follow.  I didnt have any garlic powder and just added a little minced garlic in its place.  Everyone loved dinner.  It was as good as any 5 star restaurant.   Amazing taste!   I couldn&apos;t be happier."
5,"This Prime Rib was &apos;&apos;FANTASTIC&apos;&apos;....Served this on Christmas Eve.. I had a 4# Roast, rubbed the &apos;&apos;crust&apos;&apos; on well.... Cooked it at 450 degrees for 30 min., then 325 degrees for another 90 min., let it sit for 45 min before slicing... it was &apos;&apos;Med-Rare&apos;&apos; and my dinner guests loved it...This is a &apos;&apos;KEEPER&apos;&apos;... Will use it from now on!!"
5,Never having turkey again after this roast. The flavourings had me thinking about the best smoked meat. Meat melted in your mouth.
5,Wonderful for special occasions or anytime!
5,I made this for Christmas dinner and it was a huge hit. I cooked a 14 lb prime rib and baked it 3 hours. I turned it down to 325 instead of 350  degrees after the initial 30 minutes at 450 degrees. My family loved it!
3,"This was my first time to make this roast.  I had high hopes, as I love all the ingredients involved.  I prepared and cooked it EXACTLY as written/shown.  (Nothing frustrates me more than a review that is 50% edited from another recipe.)  That said, prepared as described, flavor is 6/10 finished product is 5/10.  Previous reviewers who mentioned cooking it at 500 for first 30 mins, then 325 for remaining minutes are exactly correct.  I went by the directions and pulled out my roast when thermometer read 55*C (rare, according to recipe.)  The roast was medium-medium well.  There is a chance my thermometer is wrong, but not my reading of it.  Might use the rub part again, never the roasting instructions.  Good meat gone...meh."
5,"Great Great recipe with some tweaking.... Here&apos;s what I did for perfect results.  I added two more tablespoons to the butter it called for, and put half of the salt, half of the almond extract and a tad bit more of the vanilla... Perfecto... They are soft, creamy, melt in your mouth......"
5,"YUMMY!  AND FINALLY I&apos;ve found a Spritz cookie recipe I will keep FOREVER!!  :)   I did modify the recipe, though, by using only 1/4t almond flavoring and 1/4 t vanilla flavoring.  There was no bitter after-taste, only the melt-in-your-mouth taste of buttery spritz.  The confectioner&apos;s sugar also makes this cookie very smooth.  GREAT recipe!  It&apos;s a definate keeper!"
3,"I agree with KARLA13, the preparation is easy but the cookie after-taste isn&apos;t that appealing. Although they looked nice, I couldn&apos;t give them out because of the after-taste. I make spriz cookies a lot and this taste was like no other..."
4,I made this recipe with three other Spritz recipes from this site. The texture was perfect for press cookies but I found the almond flavoring overwhelming both in the dough and in teh finished product. I took them to work and to a church social and asked folks to rate them. These were the least favorite of the four Spritz recipes. I&apos;m thinking maybe I should try them without the almond.
5,I have to share this with you. I have my grandmother&apos;s press which is at least 50 years old. I have NEVER been able to get a dough to go thru it without a hassle - until now! This is the most wonderful dough to work with. I did use all vanilla and no almond but stuck with the other measurements (I always use unsalted butter so I didn&apos;t play with the salt at all). It was a breeze - no chilling the dough. Couple of hints though - be sure to let the cookie sheets cool completely so that your dough grabs it (I even put my outside on the deck to chill them). Also I found that I got WAY more than 3 dozen out of a batch - I used the wreath and camel and tree patterns and a double recipe gave me more than 12 dozen cookies (I gave up counting at that point:). Finally I always find spritz taste better the next day (like pizelles they need that overnight rest to really let the vanilla shine thru). Good luck and definitely try this one!
4,These turned out very tasty. However the dough was too firm to go through my cookie press. After adding a little more butter the consistency was right and the cookies turned out well.
4,"it was easy and I concur with the other reviews ""what aftertaste??"" I did customize this recipe to make 6 1/2 dozen and needed to add 1/4 more butter to work the cookie press. Overall a great recipe for the cookie press."
5,This is an excellent spritz cookie recipe. Followed the recipe exactly as written and had excellent results. This is a keeper.
5,I tried this recipe because of the reviews. I have never had any luck making press cookies but using this recipe was a breeze! Really has a good taste and very easy to use in the press. I give it five stars!
3,"These are quite heavy and very egg-y compared with my English Nana’s recipe which calls for 1/2 cup each water and milk and 2 eggs. And we always use butter. Using fat was something she thought poor people used because they couldn’t afford butter and it just wasn’t proper, lol. When I make them with Nan’s recipe, they come out already in the shape of cups. There’s no poking needed, and it’s light and crispy yet still very soft. These are ok, though."
5,Perfect just they way my dad form London made them......nice tip with  putting in an air vent at the end
5,The only change i made was that i HALVED the recipe tthey turned out beautifully! I used the leftover prime rib roast from Chef John as well!
5,It was awesome. I read somewhere if you don&apos;t have beef fat that you can use butter instead.....but I haven&apos;t tried it yet.
4,Followed recipe exactly. Impressed with the results. I&apos;m teaching my cook to make popovers and this recipe is the one I&apos;ll be using . Although I think I&apos;ll cut the time by 5 mins.
5,"I&apos;ve made them twice, and they came out perfect both times."
3,These ended up turning out well despite the mess. I used oil since my roast didn&apos;t produce enough fat. I questioned the amonnt of oil needed in each muffin cup (used a pan for large muffins)...should have trusted my instincts because a tablespoon of oil was WAY too much and made a huge smokey mess in the oven. I think 1 teaspoon of oil would be plenty since there was 1/4 inch of oil left in each tin and 1/4 inch had bubbled out to the bottom of my oven.
5,It wasGreat
5,"I thought this was great... I use cider exclusively in place of water, but I do that with everything like this. This is very rich and creamy... definitely the best I&apos;ve tried!
                                
                                P.S. If you change everything in the recipe (amounts, ingredients, cooking time) and then ultimately you don&apos;t like the end result, don&apos;t come back and rate the recipe a ""three"". Don&apos;t rate the recipe at ALL unless you FOLLOW it; that&apos;s just not fair."
5,Wonderful! Used Captain Morgan&apos;s spiced rum topped with French Vanilla Cool Whip and sprinkled nutmeg on top. An addicting dessert in a mug.
5,Oh so yummy. I cut the recipe in half thinking it seemed like alot. Wrong move. Make the whole recipe. Add double batter rum and spices. Added whipped cream sprinked w/ cinnamon. Used Captain Morgans spiced rum. My friends loved it!!!
5,My mom uses this same recipe. When we were young we got to have it in coffee as a treat. She gave me a tub of it and my roommate ate it all with a spoon like ice cream! Good stuff!
5,Made this batter Christmas Eve and just finished the batter tonight end of March! An excellent recipe but you may want to cut it in half. I gave batter away to two different friends and still had tons left over. It is so darn good we even warmed it in the microwave and poured it over vanilla ice cream as a sauce yummy!
5,Simply delicious! I put 2 tbsp of batter as others have suggested with 1-2 oz spiced rum topped with cool whip. It was a hit on Christmas day and will definetly make it again :)
4,This was the first time I have ever had anything like this so I wasn&apos;t sure what to expect. It was good. Not the kind of drink I drink all night its very rich but what a treat!
5,Sooooo delicious. The hit of Christmas Eve. Thanks Sheri
5,Can&apos;t wait to try this!!!!
2,So disappointing. I followed the instructions to the letter but it just doesn&apos;t taste that great. It&apos;s too sweet and not buttery enough for my liking. If I were to make this again I&apos;d cut the confectioner&apos;s sugar completely. Overall it&apos;s just not that good for the calories you&apos;re consuming while drinking it.
5,Try it in your bread machine. Really! Just put in all the liquid ingredients then the flour (I reduced the amount to 2 1/4 cups) and then the yeast on top...after it has started to mix together add the candied fruit a little at a time. Most of it will mix in some may be left at the bottom of the pan. After the first rise remove it from the machine. Turn your oven on to 200 degrees for 5 minutes - then turn it off. Knead the dough a little to get all the fruit in - the dough should be soft and a little sticky - don&apos;t add to much flour it will make the final product stiff and dry! Then roll it out and put in the marzipan just like the recipe says. Put it in the warmed oven to rise - I guarantee it will rise up beautifully - as long as you haven&apos;t added too much flour! It is a wonderful recipe!
5,This is the 4th year I&apos;ve used this recipe to make stollen as gifts for family and friends. It&apos;s great! A few tips for people first setting out: 1) Marzipan contains almonds so take care if you or anyone you make it for has nut allergies. 2) This makes a HUGE stollen. When the recipe calls for folding the halves it over onto one another instead put each half on its own tray (or well separated on a large baking pan) and make two in one go. 3) Sprinkle icing sugar on the stollen just after you pull them out of the oven - don&apos;t wait! The heat from the dough will be sufficient to melt the sugar and create a sugary &apos;crust&apos; instead of just powder.
5,I have tried several Stollen recipes and this one is the best. The traditional German bread was moist inside with a delightfully sweet marzipan surprise. Thanks!
4,My parents are German immigrants and I make Christstollen every year and sell it on ebay. This is very close to the recipe I have developed from authentic sources. I use orange peel lemon peel and citron and I don&apos;t use candied cherries. Christstollen is baked throughout the Christmas season in Germany and it is tradition in some parts of the country to eat the last one on Easter - and that was before modern refrigeration (no freezers)! The way this was accomplished is in how the loaf is finished. While the loaf is still warm you brush it with copious amounts of melted butter. I would recommend 1/4 cup butter for this one loaf. It is then THICKLY coated with powdered sugar. This process keeps all the moisture inside the loaf as well as adding wonderful flavor. The reason for the shape of the Stollen loaf is that is to represent the Christchild in swaddling clothes. I shape the loaf by first spreading the dough into an oval shape about 6 inches by 14 inches. If I am using marzipan as in this recipe I lay the log near one edge then roll that long edge over the marzipan gathering the sides in slightly then rolling to about 1 inch away from the other side pressing gently. Stollen is a wonderful accompaniment to coffee or tea and it wouldn&apos;t be Christmas in our house without it! Merry Christmas!
4,"My hubby&apos;s family is German and it isn&apos;t Christmas without a stollen. Usually we order one from Dresden but last year I decided to make one. I&apos;m giving it four stars because it passed the in law test and was delicious but MAN is it a lot of work. If you&apos;re willing to put in the time to find the ingredients and make it, this IS the recipe you want to try. We&apos;re buying a stollen this year, simply because I&apos;m being lazy. This recipe is authentic and wonderful. Oma and Opa would approve!"
5,WOW this was awesome. I have had Stollen for all my life and never made it. I used this recipe and because I am a chef was able to assertain the process from experience of making yeast leavened breads. It turned out excellent my girlfriend could not stop eating it. I think this should be part of anyone&apos;s holiday treat.
1,I ended up with a big wet gloppy mess. I threw out the dough without baking.
5,This was great - not only good to eat but pretty. I used fast action yeast instead of regular dried yeast and the recipe worked fine. I stirred the fast action yeast into the dry ingredients then added the warmed milk and egg. Normally fast action yeast takes less time to double and requires one raising time. With all the fruit in this the dough took a good hour and a quarter to double. Then I shaped it left it for about ten minutes and put it in the oven. I thought the dough was easy to handle.
5,My mother used to make this for us every Christmas morning a treat that our family eagerly anticapated each year. It&apos;s delicous fruity but not overly so sweet and chewy and if you use green food coloring in the icing very festive looking. Though I no longer live at home I still take the time to make this treat for my own family. It&apos;s worth the prep time for sure!
5,My rating is just for the topping not the actual cupcake. So adorable!
5,They are adorable! Got lots of compliments at Christmas parties! Take a while so plan for that when making.
5,The Reindeer Cupcakes were a big hit with our family and neighbors. I did not use red jelly beans (too big). Jellybeans are not always available anyway; instead I used Imperials (red cinnamon candies) found in the baking section of many stores.
5,Didn&apos;t change a thing. This was a trial run but I&apos;ll definitely be making them for Christmas for my grand babies. They loved them!
5,soooo good.. made for a dinner party and everyone loved it! I used roasted pecans pom red onion and feta cheese. I made a dressing ( balsamic with honey salt and pepper...mixed well then add a bit of olive oil ) and it was great with it! Plus be sure you dont drain the pom seeds and add the juice on top of the salad! Yummy!!
5,I made this for Christmas last year and it was beautiful. It&apos;s easy to remove the pomigranate seeds if you place it in a dish of water and remove the seeds underwater. This prevents them from popping out on the counter and floor. The red and green presentation of this salad is very elegant.
5,Love this salad; make it for a Christmas gathering every year and get rave reviews. Good and good for you!!
5,I toast the walnuts first. The best dressing for this is if you can find pomegranate molasses and whisk in some EVOO little sugar and a dash of S & P. You can also buy pomegranate seeds already cleaned and ready at Trader Joes!
5,A great combination of ingredients! My store was out of my favorite spinach so I used a spring mix instead. I also skipped the sprouts. I used the Balsamic Vinaigrette recipe from this site and it was a superb salad! One suggestion would be to toast the walnuts.
5,Easy pretty to look at and delicious! I loved the crunchy texture the walnuts and pomegranate seeds added. Next time I think I would divide all the toppings into two halves so that I could toss a bit of it all together and then top artfully with the rest. This recipe&apos;s a keeper!
5,Love this recipe! Most recently I was unable to find pomegranates out-of-season so I had to do a last-minute substitution of mandarin oranges. Was delicious and colorful too!
5,excellent salad.I added cottage cheese as feta cheese is not available here.In place of vinegar I used lemon juice and salt. Chhaya
5,"this was a hit in our house!! i think you could serve it with or without the feta but i&apos;m not a big fan of feta cheese. i served my salad with a homemade vinaigrette which i based off of ""balsamic vinaigrette"" on this site. Mix together the following ingredients and let sit for a little while to allow flavors to work together: 1/2 cup extra virgin olive oil 1/2 cup balsamic vinegar 1 clove crushed garlic 1 tsp ground mustard 1 pinch salt black pepper to taste and 3 TB honey"
3,I took this to a dinner with my girlfriends and it was not a hit. The pomegranate seeds did get some attention though. It&apos;d make a nice salad around Christmas time given the red green and white colors.
5,"I’ve used this recipe for the last several years for our traditional New Year’s Day panettone French toast.  It’s perfect.  But we cook way more than one slice at a time!  For 1/2 of a large panettone, I quadrupled the recipe (1 cup milk, 4 eggs, and a generous shake or two of cinnamon).  I used an electric griddle and found that 300 degrees worked well.  (375 degrees made it too brown/burned while the middle was still soggy.)"
5,Yummy! I like to melt the butter in the syrup and pour over toast keeping it nice and warm.
5,Perfect!!
5,Simple and very very good. A great use for all that Christmas Panettone.
5,Yummy. Thanks
5,Very easy and delicious! Will make again for sure.
5,Hubs and I both enjoyed these a lot! The pimiento is a nice addition but I couldn&apos;t bring myself to add the peanuts which just didn&apos;t sound appealing. Rather than steaming the beans I nuked them while I had the butter/soy mixture on the stove. I didn&apos;t bother refrigerating it overnight and I don&apos;t see how doing that would have necessarily been an improvement. Very pretty and nicely flavored.
1,"Too much garlic soy sauce is overpowering and the peanuts were the worst thing of all. We tried this recipe because it sounded interesting however out of a whole family of ""we&apos;ll try anything"" eaters-NOBODY liked this absolutely nobody. Sorry!"
5,I used fewer pimentos and about 1/2 the amount of soy sauce and raw peanuts to cut down on the salt content and they were still delicious
5,The family LOVED this recipe. I used pine nuts instead of peanuts (because my husband ate the peanuts the night before!). It was pretty tasty and perfect on the seasoning. Great small of garlic too. Excellent recipe thanks!!
4,Simple and pretty colors for the holiday table. This was a hit for the whole family. Just wish there was a way to make the sauce stick to the beans.
4,The flavor of these over all was really very good. I cut the butter lemon & soy in half and still used more than 2 lbs of green beans. Even cutting the sauce in half it was still too much sauce for us. I didn&apos;t have pimentos so I used red bell pepper diced small. Hubby LOVED the addition of peanuts. I have some left over sauce and will try it on broccoli tomorrow. Thanks for an inspiring recipe.
5,This recipe is excellent. I used just 1/2 a cup of chopped peanuts and it was more than enough. Everyone raved over this dish and asked for the recipe.
5,Got raves at the Thanksgiving dinner with this recipe and requests to make it again at Christmas.
5,Simple and great tasting! My husband hates pimentos but asked for seconds of this recipe! I didn&apos;t use soy sauce or salt and added walnuts. I steamed the veggies in the microwave and then heated the mixture in the microwave so it was extremely simple to combine and eat. Yummy will definitely make again!
5,"Wonderful easy recipe for the holidays! To ensure the sugar crusted on the rim I made these the evening before with red and white sugar crystal&apos;s and let them ""sit up""! Preparing ahead of time allowed the sugar to last through more than one refill of champagne! Beautiful festive fun and turned an ordinary glass of champagne into a work of art. Guests definitely felt special when sipping these!"
5,This is insane good. I could drink these all night. Even my husband the whiskey drinker liked this. YUM.
5,I gave my sister in law the task of making the Christmas brunch cocktail and she came in with this little gem! Oh my it was so good that 3 of us drank the whole pitcher ourselves. Oh and don&apos;t skip the sugar rimmed glass it gave it the right festive touch.
5,OH HOLY COW!!! These were outstanding!! I served these New Years eve and they blew the 50.00 bottle of Gruet Champagne out of the water! I used Patron Citronage and Turbinado sugar! There were requests for these for brunch!! Alas I was out of champagne... will definitely make again! This recipe is a keeper!!
5,A great drink to celebrate Mother&apos;s Day (or any occasion for that matter!). These are easy to prepare and a tasty twist on traditional mimosas. A definite make again.
5,i have been looking for this drink and no one knew how to make it. i will try this drink out this weekend thank you for the recipe. i find out alot of good menues on all recipes this is the best web site to go to
5,Easy and delicious! I loved the rim with sugar it looked special! Will make again.
5,This has been our regular mimosa recipe I&apos;ve used for years.....nothing is better than this composition in my opinion!
5,Made this recipe for our Christmas brunch. We have a big family so I recalculated the recipe for 36 servings and made it in my 3-gallon drink dispenser. I rimmed the glasses with red and green sanding sugar (like you use for Christmas cookies) and put one marachino cherry in the bottom of each glass before serving. It was delicious! Be careful with it since it goes down so easily! Thanks for the great recipe!
5,"Instead of sauteing the onion in vegetable oil, I used butter. The recipe didn&apos;t specify which kind of onion I should use, I used four large green onions. I threw in a clove of fresh minced garlic in with the onion when I sauteed it. I used a homemade dry ranch dressing mix, increased the bacon bits a bit and added a touch of Frank&apos;s Hot Sauce. The boys LOVED these deviled eggs--they ate every single one."
5,SOOOOO GOOD! I liked the cooked onion in this though I didn&apos;t see in the directions about adding it in w/ the other ingredients but I assume that you were supposed to so I did lol. Great flavor...will be making these again YUM! Thanks for sharing.:)
5,2 thumbs up! I had never made deviled eggs before and didn&apos;t want to start out with just a basic mayo and mustard recipe so decided to give this a try. It&apos;s amazing! I cut the recipe down to 8 servings because I wanted to try it first and it&apos;s definitely a keeper. I didn&apos;t add any cheese because my husband doesn&apos;t care for it but everything else was to the T.
5,"These are just amazing. I was concerned about the onions so made less than a dozen eggs but will be doing the rest of them shortly. These are ""slap yo&apos; momma"" good!!!"
5,We loved these eggs. The sauteed onions was a amazing twist to these and everything just blended so well with these deviled eggs. Love the flavors.
5,These are delicious!! I omit the onions and bake my eggs in a muffin tin at 325 degrees for 30 minutes (turn after 15 mins to avoid harmless brown spots) rather than boiling in water on the stove. It is easy and still yummy! Thanks for the recipe!
5,My husband doesn&apos;t like Deviled Eggs but loved these! I was taking them to a Super Bowl Party and he said he was going to tell everyone they were Alligator eggs and was horrible. That way he could eat more. Was out of fresh onion so I used some dehydrated onions. Just soaked them in some water. Squeezed out the moisture and add them to the mixture. Worked fine. Thanks for sharing!
5,My family and guests all loved these. I will definitely make again.
